PopulationID,Rank,Code,Country,Capital,Continent,Population,Area (km²),Density (per km²),GrowthRate,WorldPopulationPercentage
60,152,GNQ,Equatorial Guinea,Malabo,Africa,1674908,28051,59.7094,1.0247,0.02
61,132,ERI,Eritrea,Asmara,Africa,3684032,117600,31.3268,1.0176,0.05
62,156,EST,Estonia,Tallinn,Europe,1326062,45227,29.3201,0.998,0.02
63,159,SWZ,Eswatini,Mbabane,Africa,1201670,17364,69.2047,1.0079,0.02
64,12,ETH,Ethiopia,Addis Ababa,Africa,123379924,1104300,111.7268,1.0257,1.55
65,231,FLK,Falkland Islands,Stanley,South America,3780,12173,0.3105,1.0043,0.0
66,209,FRO,Faroe Islands,Tórshavn,Europe,53090,1393,38.112,1.0038,0.0
67,162,FJI,Fiji,Suva,Oceania,929766,18272,50.8847,1.0056,0.01
68,118,FIN,Finland,Helsinki,Europe,5540745,338424,16.3722,1.0009,0.07
69,23,FRA,France,Paris,Europe,64626628,551695,117.1419,1.0015,0.81
70,184,GUF,French Guiana,Cayenne,South America,304557,83534,3.6459,1.0239,0.0
71,183,PYF,French Polynesia,Papeete,Oceania,306279,4167,73.5011,1.0074,0.0
72,146,GAB,Gabon,Libreville,Africa,2388992,267668,8.9252,1.0204,0.03
73,142,GMB,Gambia,Banjul,Africa,2705992,10689,253.1567,1.025,0.03
74,131,GEO,Georgia,Tbilisi,Asia,3744385,69700,53.7214,0.9964,0.05
75,19,DEU,Germany,Berlin,Europe,83369843,357114,233.4544,0.9995,1.05
76,47,GHA,Ghana,Accra,Africa,33475870,238533,140.3406,1.0196,0.42
77,219,GIB,Gibraltar,Gibraltar,Europe,32649,6,5441.5,0.9994,0.0
78,90,GRC,Greece,Athens,Europe,10384971,131990,78.68,0.9942,0.13
79,208,GRL,Greenland,Nuuk,North America,56466,2166086,0.0261,1.004,0.0
80,193,GRD,Grenada,Saint George's,North America,125438,344,364.6453,1.0066,0.0
81,178,GLP,Guadeloupe,Basse-Terre,North America,395752,1628,243.0909,0.9992,0.0
82,191,GUM,Guam,Hagåtña,Oceania,171774,549,312.8852,1.0073,0.0
83,68,GTM,Guatemala,Guatemala City,North America,17843908,108889,163.8725,1.0134,0.22
84,207,GGY,Guernsey,Saint Peter Port,Europe,63301,78,811.5513,1.0037,0.0
85,75,GIN,Guinea,Conakry,Africa,13859341,245857,56.3716,1.0242,0.17
86,149,GNB,Guinea-Bissau,Bissau,Africa,2105566,36125,58.2856,1.0218,0.03
87,164,GUY,Guyana,Georgetown,South America,808726,214969,3.7621,1.0052,0.01
88,82,HTI,Haiti,Port-au-Prince,North America,11584996,27750,417.4773,1.012,0.15
89,89,HND,Honduras,Tegucigalpa,North America,10432860,112492,92.7431,1.015,0.13
90,104,HKG,Hong Kong,Hong Kong,Asia,7488865,1104,6783.3922,0.9992,0.09
91,94,HUN,Hungary,Budapest,Europe,9967308,93028,107.1431,1.0265,0.12
92,179,ISL,Iceland,Reykjavík,Europe,372899,103000,3.6204,1.0069,0.0
93,2,IND,India,New Delhi,Asia,1417173173,3287590,431.0675,1.0068,17.77
94,4,IDN,Indonesia,Jakarta,Asia,275501339,1904569,144.6529,1.0064,3.45
95,17,IRN,Iran,Tehran,Asia,88550570,1648195,53.7258,1.0071,1.11
96,35,IRQ,Iraq,Baghdad,Asia,44496122,438317,101.5158,1.0221,0.56
97,125,IRL,Ireland,Dublin,Europe,5023109,70273,71.4799,1.0073,0.06
98,202,IMN,Isle of Man,Douglas,Europe,84519,572,147.7605,1.003,0.0
99,98,ISR,Israel,Jerusalem,Asia,9038309,20770,435.1617,1.0155,0.11
100,25,ITA,Italy,Rome,Europe,59037474,301336,195.9191,0.9966,0.74
101,52,CIV,Ivory Coast,Yamoussoukro,Africa,28160542,322463,87.3295,1.0248,0.35
102,139,JAM,Jamaica,Kingston,North America,2827377,10991,257.2447,0.9999,0.04
103,11,JPN,Japan,Tokyo,Asia,123951692,377930,327.9753,0.9947,1.55
104,195,JEY,Jersey,Saint Helier,Europe,110778,116,954.9828,1.0106,0.0
105,83,JOR,Jordan,Amman,Asia,11285869,89342,126.3221,1.0123,0.14
106,66,KAZ,Kazakhstan,Nursultan,Asia,19397998,2724900,7.1188,1.0105,0.24
107,27,KEN,Kenya,Nairobi,Africa,54027487,580367,93.0919,1.0193,0.68
108,192,KIR,Kiribati,Tarawa,Oceania,131232,811,161.815,1.0183,0.0
109,129,KWT,Kuwait,Kuwait City,Asia,4268873,17818,239.5821,1.0044,0.05
110,110,KGZ,Kyrgyzstan,Bishkek,Asia,6630623,199951,33.1612,1.0158,0.08
111,103,LAO,Laos,Vientiane,Asia,7529475,236800,31.7968,1.0141,0.09
112,151,LVA,Latvia,Riga,Europe,1850651,64559,28.666,0.9876,0.02
113,119,LBN,Lebanon,Beirut,Asia,5489739,10452,525.2334,0.9816,0.07
114,147,LSO,Lesotho,Maseru,Africa,2305825,30355,75.962,1.0107,0.03
115,121,LBR,Liberia,Monrovia,Africa,5302681,111369,47.6136,1.021,0.07
116,107,LBY,Libya,Tripoli,Africa,6812341,1759540,3.8717,1.0114,0.09
117,216,LIE,Liechtenstein,Vaduz,Europe,39327,160,245.7937,1.0074,0.0
118,141,LTU,Lithuania,Vilnius,Europe,2750055,65300,42.1142,0.9869,0.03
119,168,LUX,Luxembourg,Luxembourg,Europe,647599,2586,250.425,1.0129,0.01
