ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
128,29,34,3,327,53,61,344,28,53,61,15520.0,0.0887920927940988
129,29,34,3,327,53,61,345,28,53,61,15520.0,0.0887920927940988
130,29,34,3,327,53,62,343,28,53,62,15520.0,0.0887920927940988
131,29,34,3,327,53,62,344,28,53,62,15520.0,0.0887920927940988
132,29,34,3,327,53,62,345,28,53,62,15520.0,0.0887920927940988
133,29,34,3,327,53,63,343,28,53,63,15520.0,0.0887920927940988
134,29,34,3,327,53,63,344,28,53,63,15520.0,0.0887920927940988
135,29,34,3,327,53,63,345,28,53,63,15520.0,0.0887920927940988
136,29,34,3,327,54,59,343,28,54,59,15520.0,0.0887920927940988
137,29,34,3,327,54,59,344,28,54,59,15520.0,0.0887920927940988
138,29,34,3,327,54,59,345,28,54,59,15520.0,0.0887920927940988
139,29,34,3,327,54,60,343,28,54,60,15520.0,0.0887920927940988
140,29,34,3,327,54,60,344,28,54,60,15520.0,0.0887920927940988
141,29,34,3,327,54,60,345,28,54,60,15520.0,0.0887920927940988
142,29,34,3,327,54,61,343,28,54,61,15520.0,0.0887920927940988
143,29,34,3,327,54,61,344,28,54,61,15520.0,0.0887920927940988
144,29,34,3,327,54,61,345,28,54,61,15520.0,0.0887920927940988
145,29,34,3,327,54,62,343,28,54,62,15520.0,0.0887920927940988
146,29,34,3,327,54,62,344,28,54,62,15520.0,0.0887920927940988
147,29,34,3,327,54,62,345,28,54,62,15520.0,0.0887920927940988
148,29,34,3,327,54,63,343,28,54,63,15520.0,0.0887920927940988
149,29,34,3,327,54,63,344,28,54,63,15520.0,0.0887920927940988
150,29,34,3,327,54,63,345,28,54,63,15520.0,0.0887920927940988
151,29,34,3,327,55,59,343,28,55,59,15520.0,0.0887920927940988
152,29,34,3,327,55,59,344,28,55,59,15520.0,0.0887920927940988
153,29,34,3,327,55,59,345,28,55,59,15520.0,0.0887920927940988
154,29,34,3,327,55,60,343,28,55,60,15520.0,0.0887920927940988
155,29,34,3,327,55,60,344,28,55,60,15520.0,0.0887920927940988
